stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding,level_id
STN_N06,Wiehle-Reston East,,38.94783193,-77.34031555,91,1,,1,
STN_N04,Spring Hill,,38.92921225,-77.24189135,90,1,,1,
STN_N03,Greensboro,,38.9212686,-77.23416237,89,1,,1,
STN_N02,Tysons,,38.92068462,-77.22158868,88,1,,1,
STN_N01,McLean,,38.92433888,-77.21053,87,1,,1,
STN_K08,Vienna,,38.87757822,-77.2724589,3,1,,1,
STN_K07,Dunn Loring,,38.8836488,-77.22724305,3,1,,1,
STN_K06,West Falls Church,,38.9007884,-77.18922099,2,1,,1,
STN_K05,East Falls Church,,38.88602629,-77.15694404,1,1,,1,
STN_K04,Ballston,,38.8822602,-77.11322048,1,1,,1,
STN_K03,Virginia Square,,38.88343309,-77.10302399,58,1,,1,
STN_K02,Clarendon,,38.88673936,-77.09544242,1,1,,1,
STN_K01,Court House,,38.89015263,-77.08714356,1,1,,1,
STN_J03,Franconia-Springfield,,38.76650549,-77.16799097,3,1,,1,
STN_J02,Van Dorn St,,38.79929181,-77.12926966,71,1,,1,
STN_G05,Downtown Largo,,38.90051057,-76.84465397,86,1,,1,
STN_G04,Morgan Blvd,,38.89400109,-76.86770736,85,1,,1,
STN_G03,Addison Rd,,38.88673121,-76.8941346,1,1,,1,
STN_G02,Capitol Heights,,38.88942916,-76.91183314,5,1,,1,
STN_G01,Benning Rd,,38.89106901,-76.93861946,10,1,,1,
STN_F11,Branch Ave,,38.82671771,-76.9118167,83,1,,1,
STN_F10,Suitland,,38.84466776,-76.93286932,82,1,,1,
STN_F09,Naylor Rd,,38.85112092,-76.95660457,81,1,,1,
STN_F08,Southern Ave,,38.84095364,-76.97521082,80,1,,1,
STN_F07,Congress Heights,,38.84569521,-76.98843915,79,1,,1,
STN_F06,Anacostia,,38.86328678,-76.99555939,10,1,,1,
STN_F05,Navy Yard-Ballpark,,38.87647255,-77.0058773,10,1,,1,
STN_F04,Waterfront,,38.87645595,-77.01755936,10,1,,1,
STN_F02,Archives,,38.89322449,-77.02190866,10,1,,1,
STN_E10,Greenbelt,,39.01109343,-76.91119726,8,1,,1,
STN_E09,College Park-U of MD,,38.97830324,-76.92834004,8,1,,1,
STN_E08,Hyattsville Crossing,,38.96529153,-76.95642247,5,1,,1,
